"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000259846",8.3404161724367,6.19344986402579,1.76321620164617,3.51258674815004,0.000443767111887772,0.0879339635738584
"ENSG00000173110",855.950941691769,3.89773928842148,0.845722040601859,4.60877108706738,4.05055995974216e-06,0.0209154714081246
"ENSG00000132693",56.6007532539178,3.775369867317,0.993462495700191,3.80021378125213,0.000144571312980952,0.0548903258609151
"ENSG00000133048",1489.21046577316,3.39369852456199,0.867013217736485,3.91424081563824,9.06890919700914e-05,0.048042150320262
"ENSG00000148735",9.90737149264173,3.17389973790395,0.66152349350662,4.79786397468616,1.60366621293864e-06,0.0104365002060571
"ENSG00000178776",3.81909865251194,2.9766545681194,0.862800045709257,3.4499935215841,0.000560600006618814,0.0976008943718634
"ENSG00000143552",61.0018148113486,2.91339870025989,0.678000577483247,4.29704457048472,1.73090402024071e-05,0.0248269333303193
"ENSG00000189377",47.5924341725925,2.88079011006278,0.726809971158043,3.96360840437116,7.38253164452209e-05,0.0443260934879701
"ENSG00000104760",25.7345416012977,2.86924001221101,0.769327885494339,3.72954115704172,0.000191828772578054,0.0626008489242668
"ENSG00000182566",25.9231627518091,2.82916916320043,0.692847327839321,4.08339478196927,4.43825294478982e-05,0.0381956048428612
"ENSG00000204528",20.2218596815549,2.76751176187655,0.634098811159443,4.36448028788477,1.27425338646793e-05,0.0248269333303193
"ENSG00000157765",9633.51471718043,2.67439563114505,0.750959149507787,3.56130640780923,0.000369014140907174,0.0828452790429689
"ENSG00000169035",25.5699781461789,2.66722999033447,0.660504359663291,4.03817166580725,5.38694263827123e-05,0.0418186597211024
"ENSG00000229314",50.7190614510166,2.5708598416078,0.724543147256595,3.54824947464079,0.000387800720204491,0.0837799528112236
"ENSG00000105664",603.257185778604,2.4969853726008,0.583440216838316,4.27976217706084,1.870931269052e-05,0.0254230018444129
"ENSG00000129204",505.834377829117,2.46230924873813,0.635946265869154,3.87188254871324,0.000107997992792406,0.0516350403317469
"ENSG00000175426",271.638677447504,2.45745921362037,0.664800682573067,3.69653533463434,0.000218561851251762,0.0630219519804919
"ENSG00000257017",170.75990867307,2.45641527021505,0.644700645541286,3.81016412377354,0.000138874567599089,0.0548903258609151
"ENSG00000118785",373.33725440386,2.35640380785838,0.491305085472,4.79621293883934,1.61693395399444e-06,0.0104365002060571
"ENSG00000213700",48.3531717187197,2.29042293260807,0.647043763668368,3.53982691931483,0.000400389525998686,0.0837799528112236
"ENSG00000204839",476.220503694435,2.22377291726107,0.513190758036913,4.33322869212917,1.46938331918818e-05,0.0248269333303193
"ENSG00000260604",55.5961289407477,2.13707698342679,0.596181211932221,3.58460974726213,0.000337582593093951,0.0807009943379596
